date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
Unknown,Unknown,954 509 741,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296177.54
Unknown,Unknown,18,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296195.54
Unknown,Unknown,07 00,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296895.54
31/03/2019,Unknown,91,Unknown,Unknown,Credit,Unknown,DEPARGNE,Semce gatut puapod,91.0
Unknown,Unknown,71,Unknown,Unknown,Credit,Unknown,DEPARGNE,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,162.0
Unknown,Unknown,7,Unknown,Unknown,Credit,Unknown,DEPARGNE,Kuardi,169.0
Unknown,Unknown,147,Unknown,Unknown,Credit,Unknown,DEPARGNE,Keraed,316.0
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,DEPARGNE,Jeudi,317.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,DEPARGNE,Vendred,329.0
Unknown,Unknown,31,Unknown,Unknown,Credit,Unknown,DEPARGNE,Samed,360.0
Unknown,Unknown,03,Unknown,Unknown,Credit,Unknown,DEPARGNE,N 10,363.0
Unknown,Unknown,10,Unknown,Unknown,Credit,Unknown,DEPARGNE,Votre Conseiller AMANDINE AvRIL,373.0
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,DEPARGNE,Kettanenacira,374.0
Unknown,Unknown,15 36,Unknown,Unknown,Credit,Unknown,DEPARGNE,WoumeKettane,1910.0
Unknown,Unknown,2,Unknown,Unknown,Credit,Unknown,DEPARGNE,DEPOT JOINT,1912.0
Unknown,Unknown,28,Unknown,Unknown,Credit,Unknown,DEPARGNE,IZICARTE,1940.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,DEPARGNE,Soleau310419,1942.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,DEPARGNE,Montant,1961.0
Unknown,Unknown,54,Unknown,Unknown,Credit,Unknown,DEPARGNE,KETTANE,2015.0
Unknown,Unknown,00,Unknown,Unknown,Credit,Unknown,DEPARGNE,DEPOT JOINT N 17515,2015.0
Unknown,Unknown,28,Unknown,Unknown,Credit,Unknown,DEPARGNE,Dale Detandes,2043.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,DEPARGNE,Solde Precedent AU 28/02/19,2045.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,DEPARGNE,VnEUR AU,2064.0
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,DEPARGNE,MotoPaix,2065.0
Unknown,Unknown,03,Unknown,Unknown,Credit,Unknown,DEPARGNE,SePAINteRepaRGIE,2068.0
Unknown,Unknown,28,Unknown,Unknown,Credit,Unknown,DEPARGNE,SALARIAL,2096.0
Unknown,Unknown,314,Unknown,Unknown,Credit,Unknown,DEPARGNE,GRoUPEM OnopR,2410.0
Unknown,Unknown,006,Unknown,Unknown,Credit,Unknown,DEPARGNE,Ret,2416.0
Unknown,Unknown,09,Unknown,Unknown,Credit,Unknown,DEPARGNE,Me,2425.0
Unknown,Unknown,"2 787,73",Unknown,Unknown,Credit,Unknown,DEPARGNE,Ret,281198.0
Unknown,Unknown,"550,00",Unknown,Unknown,Credit,Unknown,DEPARGNE,ViR SepaDofip VaL De arne ReMBoURSEMENT(ORC,336198.0
Unknown,Unknown,"548,98",Unknown,Unknown,Credit,Unknown,DEPARGNE,KETT,391096.0
Unknown,Unknown,"803,70",Unknown,Unknown,Credit,Unknown,DEPARGNE,~Rel doneur dordre,471466.0
Unknown,Unknown,"82,75",Unknown,Unknown,Credit,Unknown,DEPARGNE,GFC19 0940006W-006-0086,479741.0
Unknown,Unknown,"703,50",Unknown,Unknown,Credit,Unknown,DEPARGNE,Cux,550091.0
Unknown,Unknown,"43,45",Unknown,Unknown,Credit,Unknown,DEPARGNE,Nuv€ Iqtc CS,554436.0
Unknown,Unknown,"20,98",Unknown,Unknown,Credit,Unknown,DEPARGNE,CeDe,556534.0
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,DEPARGNE,8S ctumnucuCode,556535.0
Unknown,Unknown,900 942,Unknown,Unknown,Credit,Unknown,DEPARGNE,Honcureet,1457477.0
Unknown,Unknown,0,Unknown,Unknown,Credit,Unknown,DEPARGNE,Soocte,1457477.0
Unknown,Unknown,200,Unknown,Unknown,Credit,Unknown,DEPARGNE,Drectoreet,1457677.0
Unknown,Unknown,3,Unknown,Unknown,Credit,Unknown,DEPARGNE,Conei cOicnuuoncice Sunvralnce Cpiu,1457680.0
Unknown,Unknown,8,Unknown,Unknown,Credit,Unknown,DEPARGNE,ACSPn Sicx',1457688.0
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,DEPARGNE,Pneculoue Is001 A Incrmcaur,1457688.0
30/11/2019,Unknown,71,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Feer CAISSE,71.0
Unknown,Unknown,7,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Semce gatut puapod,78.0
Unknown,Unknown,147,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,225.0
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Kuardi,226.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Keraed,238.0
Unknown,Unknown,30,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Jeudi,268.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Vendred,279.0
Unknown,Unknown,18,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Samed,297.0
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,N 18 Page 1/ 100 2010110,298.0
Unknown,Unknown,100,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Votre Conseiller AMANDINE AvRIL,398.0
Unknown,Unknown,15 36,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Eml amandineavnlocedfcisseeoagnetr 10 BIS DE LA REVOL DES OEILLETS 94380 BONNEUIL SUR MARNE Identifiants,1934.0
Unknown,Unknown,10,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Kettanenacira,1944.0
Unknown,Unknown,30,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,WoumeKettane,1974.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT JOINT,1985.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,IZICARTE,2004.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Sokeau 30/11/19,2015.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,KETTANE,2034.0
Unknown,Unknown,"42 000,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT JOINT N 17515,4202034.0
Unknown,Unknown,31,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Dale Detandes,4202065.0
Unknown,Unknown,10,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Solde Precedent AU 31/10/19 Operations,4202075.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,depa,4202094.0
Unknown,Unknown,08,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,GAB,4202102.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT ESPECE,4202113.0
Unknown,Unknown,26,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,AWoneu,4202139.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,"1930,00146491930,0014649 ~Rel doneur",4202150.0
Unknown,Unknown,27,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,MotOPRIX,4202177.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Rel,4202188.0
Unknown,Unknown,02,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Tauty,4202190.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Bolt Blance,4202201.0
Unknown,Unknown,0,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Ret,4202201.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,GRAS SAVOYE,4202212.0
Unknown,Unknown,09,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Ret,4202221.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Ret,4202232.0
Unknown,Unknown,09,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Ret,4202241.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Dol Gedn,4202252.0
Unknown,Unknown,3,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Cux,4202255.0
Unknown,Unknown,05,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Inne J6n8r,4202260.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Nkur,4202271.0
Unknown,Unknown,05,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Enque Cocoeru,4202276.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,8S ctumnucuCode,4202287.0
Unknown,Unknown,06,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Honcureet,4202293.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Soocte,4202304.0
Unknown,Unknown,07,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Drectoreet,4202311.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Conei cOicnuuoncice Sunvralnce Cpiu,4202322.0
Unknown,Unknown,111,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,ACSPn Sicx',4202433.0
Unknown,Unknown,0,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Pneculoue Is001 A Incrmcaur,4202433.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202444.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202455.0
Unknown,Unknown,6,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202461.0
Unknown,Unknown,18,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202479.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202490.0
Unknown,Unknown,74,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4202564.0
Unknown,Unknown,"450,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4247564.0
Unknown,Unknown,"450,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4292564.0
Unknown,Unknown,499,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4293063.0
Unknown,Unknown,8,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4293071.0
